section,questionText,language,questionNum,trials_hist.thisRepN,trials_hist.thisTrialN,trials_hist.thisN,trials_hist.thisIndex,trials_use.thisRepN,trials_use.thisTrialN,trials_use.thisN,trials_use.thisIndex,trials_prof.thisRepN,trials_prof.thisTrialN,trials_prof.thisN,trials_prof.thisIndex,trials_att.thisRepN,trials_att.thisTrialN,trials_att.thisN,trials_att.thisIndex,rating_lang_hist.response,rating_lang_hist.rt,rating_lang_use.response,rating_lang_use.rt,rating_lang_prof.response,rating_lang_prof.rt,rating_lang_att.response,rating_lang_att.rt,participant,country,age,highest level of ed,frameRate,expName,gender,date,place of residence,
Language history,At what age did you start learning the following languages?,English,1a,0,0,0,0,,,,,,,,,,,,,20,5.183,,,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language history,At what age did you start learning the following languages?,Spanish,1b,0,1,1,1,,,,,,,,,,,,,9,0.578,,,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language history,At what age did you start to feel comfortable using the following languages?,English,2a,0,2,2,2,,,,,,,,,,,,,6,0.47,,,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language history,At what age did you start to feel comfortable using the following languages?,Spanish,2b,0,3,3,3,,,,,,,,,,,,,10,0.412,,,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language history,"How many years of classes (grammar, history, math, etc.) have you had in the following languages (primary school through university)?",English,3a,0,4,4,4,,,,,,,,,,,,,10,0.798,,,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language history,"How many years of classes (grammar, history, math, etc.) have you had in the following languages (primary school through university)?",Spanish,3b,0,5,5,5,,,,,,,,,,,,,7,0.442,,,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language history,How many years have you spent in a country/region where the following languages are spoken?,English,4a,0,6,6,6,,,,,,,,,,,,,10,0.433,,,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language history,How many years have you spent in a country/region where the following languages are spoken?,Spanish,4b,0,7,7,7,,,,,,,,,,,,,7,0.41,,,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language history,How many years have you spent in a family where the following languages are spoken?,English,5a,0,8,8,8,,,,,,,,,,,,,7,0.852,,,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language history,How many years have you spent in a family where the following languages are spoken?,Spanish,5b,0,9,9,9,,,,,,,,,,,,,11,0.444,,,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language history,How many years have you spent in a work environment where the following languages are spoken?,English,6a,0,10,10,10,,,,,,,,,,,,,7,0.451,,,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language history,How many years have you spent in a work environment where the following languages are spoken?,Spanish,6b,0,11,11,11,,,,,,,,,,,,,8,0.911,,,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language use,"In an average week, what percentage of the time do you use the following languages with friends?",English,7a,,,,,0,0,0,0,,,,,,,,,,,10,8.297,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language use,"In an average week, what percentage of the time do you use the following languages with friends?",Spanish,7b,,,,,0,1,1,1,,,,,,,,,,,80,1.511,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language use,"In an average week, what percentage of the time do you use the following languages with friends?",Other languages,7c,,,,,0,2,2,2,,,,,,,,,,,0,1.227,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language use,"In an average week, what percentage of the time do you use the following languages with family?",English,8a,,,,,0,3,3,3,,,,,,,,,,,40,0.819,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language use,"In an average week, what percentage of the time do you use the following languages with family?",Spanish,8b,,,,,0,4,4,4,,,,,,,,,,,80,0.962,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language use,"In an average week, what percentage of the time do you use the following languages with family?",Other languages,8c,,,,,0,5,5,5,,,,,,,,,,,40,0.894,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language use,"In an average week, what percentage of the time do you use the following languages at school/work?",English,9a,,,,,0,6,6,6,,,,,,,,,,,40,0.619,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language use,"In an average week, what percentage of the time do you use the following languages at school/work?",Spanish,9b,,,,,0,7,7,7,,,,,,,,,,,60,0.532,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language use,"In an average week, what percentage of the time do you use the following languages at school/work?",Other languages,9c,,,,,0,8,8,8,,,,,,,,,,,40,0.628,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language use,"When you talk to yourself, how often do you talk to yourself in the following languages?",English,10a,,,,,0,9,9,9,,,,,,,,,,,60,0.669,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language use,"When you talk to yourself, how often do you talk to yourself in the following languages?",Spanish,10b,,,,,0,10,10,10,,,,,,,,,,,40,0.746,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language use,"When you talk to yourself, how often do you talk to yourself in the following languages?",Other languages,10c,,,,,0,11,11,11,,,,,,,,,,,60,0.727,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language use,"When you count, how often do you count in the following languages?",English,11a,,,,,0,12,12,12,,,,,,,,,,,40,0.687,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
