section,questionText,language,questionNum,trials_hist.thisRepN,trials_hist.thisTrialN,trials_hist.thisN,trials_hist.thisIndex,trials_use.thisRepN,trials_use.thisTrialN,trials_use.thisN,trials_use.thisIndex,trials_prof.thisRepN,trials_prof.thisTrialN,trials_prof.thisN,trials_prof.thisIndex,trials_att.thisRepN,trials_att.thisTrialN,trials_att.thisN,trials_att.thisIndex,rating_lang_hist.response,rating_lang_hist.rt,rating_lang_use.response,rating_lang_use.rt,rating_lang_prof.response,rating_lang_prof.rt,rating_lang_att.response,rating_lang_att.rt,participant,country,age,highest level of ed,frameRate,expName,gender,date,place of residence,
Language use,"When you count, how often do you count in the following languages?",Spanish,11b,,,,,0,13,13,13,,,,,,,,,,,60,0.711,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language use,"When you count, how often do you count in the following languages?",Other languages,11c,,,,,0,14,14,14,,,,,,,,,,,40,0.658,,,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language proficiency,How well do you speak,English,12a,,,,,,,,,0,0,0,0,,,,,,,,,3,2.202,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language proficiency,How well do you speak,Spanish,12b,,,,,,,,,0,1,1,1,,,,,,,,,4,0.844,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language proficiency,How well do you understand,English,13a,,,,,,,,,0,2,2,2,,,,,,,,,2,0.658,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language proficiency,How well do you understand,Spanish,13b,,,,,,,,,0,3,3,3,,,,,,,,,4,0.711,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language proficiency,How well do you read,English,14a,,,,,,,,,0,4,4,4,,,,,,,,,6,0.805,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language proficiency,How well do you read,Spanish,14b,,,,,,,,,0,5,5,5,,,,,,,,,4,0.66,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language proficiency,How well do you write,English,15a,,,,,,,,,0,6,6,6,,,,,,,,,0,3.657,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language proficiency,How well do you write,Spanish,15b,,,,,,,,,0,7,7,7,,,,,,,,,3,1.143,,,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language attitudes,I feel like myself when I speak English.,English,16a,,,,,,,,,,,,,0,0,0,0,,,,,,,0,1.386,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language attitudes,I feel like myself when I speak Spanish.,Spanish,16b,,,,,,,,,,,,,0,1,1,1,,,,,,,2,0.641,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language attitudes,I identify with an English-speaking culture.,English,17a,,,,,,,,,,,,,0,2,2,2,,,,,,,4,0.623,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language attitudes,I identify with an Spanish-speaking culture.,Spanish,17b,,,,,,,,,,,,,0,3,3,3,,,,,,,3,0.592,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language attitudes,It is important to me to use (or eventually use) English like a native speaker.,English,18a,,,,,,,,,,,,,0,4,4,4,,,,,,,2,0.672,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language attitudes,It is important to me to use (or eventually use) Spanish like a native speaker.,Spanish,18b,,,,,,,,,,,,,0,5,5,5,,,,,,,3,0.687,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language attitudes,I want others to think I am a native speaker of English.,English,19a,,,,,,,,,,,,,0,6,6,6,,,,,,,2,0.707,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
Language attitudes, I want others to think I am a native speaker of Spanish.,Spanish,19b,,,,,,,,,,,,,0,7,7,7,,,,,,,3,0.821,,,,,60.2427344829,blp,,2017_Oct_17_1418,"city,state",
