stim,word,correct_response,button_real,button_false
1,terzo,0,REAL,FALSA
2,pellizcar,1,REAL,FALSA
3,pulmones,1,REAL,FALSA
4,batillón,0,REAL,FALSA
5,zapato,1,REAL,FALSA
6,tergiversar,1,REAL,FALSA
7,pésimo,1,REAL,FALSA
8,cadeña,0,REAL,FALSA
9,hacha,1,REAL,FALSA
10,antar,0,REAL,FALSA
11,cenefa,1,REAL,FALSA
12,asesinato,1,REAL,FALSA
13,helar,1,REAL,FALSA
14,yunque,1,REAL,FALSA
15,regar,1,REAL,FALSA
16,abracer,0,REAL,FALSA
17,floroso,0,REAL,FALSA
18,arsa,0,REAL,FALSA
19,brecedad,0,REAL,FALSA
20,ávido,1,REAL,FALSA
21,capillo,0,REAL,FALSA
22,lacayo,1,REAL,FALSA
23,lampera,0,REAL,FALSA
24,látigo,1,REAL,FALSA
25,bisagra,1,REAL,FALSA
26,secuestro,1,REAL,FALSA
27,acutación,0,REAL,FALSA
28,merodear,1,REAL,FALSA
29,decar,0,REAL,FALSA
30,alardio,0,REAL,FALSA
31,pandilla,1,REAL,FALSA
32,fatacidad,0,REAL,FALSA
33,pauca,0,REAL,FALSA
34,aviso,1,REAL,FALSA
35,rompido,0,REAL,FALSA
36,loro,1,REAL,FALSA
37,granuja,1,REAL,FALSA
38,estornudar,1,REAL,FALSA
39,torpe,1,REAL,FALSA
40,alfombra,1,REAL,FALSA
41,rebuscar,1,REAL,FALSA
42,cadallo,0,REAL,FALSA
43,canela,1,REAL,FALSA
44,cuchara,1,REAL,FALSA
45,jilguero,1,REAL,FALSA
46,martillo,1,REAL,FALSA
47,cartinar,0,REAL,FALSA
48,ladrón,1,REAL,FALSA
49,ganar,1,REAL,FALSA
50,flamida,0,REAL,FALSA
51,candado,1,REAL,FALSA
52,camisa,1,REAL,FALSA
53,vegada,0,REAL,FALSA
54,fomentar,1,REAL,FALSA
55,nevar,1,REAL,FALSA
56,musgo,1,REAL,FALSA
57,tacaño,1,REAL,FALSA
58,plaudir,0,REAL,FALSA
59,besar,1,REAL,FALSA
60,matar,1,REAL,FALSA
61,seda,1,REAL,FALSA
62,flaco,1,REAL,FALSA
63,esposante,0,REAL,FALSA
64,orgulloso,1,REAL,FALSA
65,bizcocho,1,REAL,FALSA
66,hacido,0,REAL,FALSA
67,cabello,1,REAL,FALSA
68,alegre,1,REAL,FALSA
69,engatusar,1,REAL,FALSA
70,temblo,0,REAL,FALSA
71,polvoriento,1,REAL,FALSA
72,pemición,0,REAL,FALSA
73,hervidor,1,REAL,FALSA
74,cintro,0,REAL,FALSA
75,yacer,1,REAL,FALSA
76,atar,1,REAL,FALSA
77,tiburón,1,REAL,FALSA
78,frondoso,1,REAL,FALSA
79,tropaje,0,REAL,FALSA
80,hormiga,1,REAL,FALSA
81,pozo,1,REAL,FALSA
82,empirador,0,REAL,FALSA
83,guante,1,REAL,FALSA
84,escuto,0,REAL,FALSA
85,laúd,1,REAL,FALSA
86,barato,1,REAL,FALSA
87,grodo,0,REAL,FALSA
88,acantilado,1,REAL,FALSA
89,prisa,1,REAL,FALSA
90,clavel,1,REAL,FALSA
