"","estimate","hdi_hi","hdi_lo","language","phoneme","frame"
"1",0.626950524179358,0.640882494227266,0.612269143170245,"french","i","b"
"2",0.688690403698082,0.70141473840731,0.675179943449572,"french","o","b"
"3",0.700234206342161,0.712683551225598,0.686997039514758,"french","schwa","b"
"4",0.664609663529549,0.677857863435918,0.650584360067219,"french","y","b"
"5",0.646476070674054,0.660074203053064,0.632112212784842,"german","i","b"
"6",0.64045456961784,0.654160411604281,0.625987598781911,"german","o","b"
"7",0.643440992319119,0.657093944413299,0.629024582052278,"german","schwa","b"
"8",0.642216395977798,0.655891161943821,0.627779115259831,"german","y","b"
