"","participant","stim","resp","stim_language","slider.response","phoneme","frame"
"1","5ab33d98580b990001730708","stim/f_schwa_g.wav","son_span","German","3.984375","schwa","fricative"
"2","5ab33d98580b990001730708","stim/feuf_g.wav","fool_eng","German","2.984375","y","fricative"
"3","5ab33d98580b990001730708","stim/peuf_g.wav","fun_eng","German","2.020833333","y","bilabial"
"4","5ab33d98580b990001730708","stim/pof_g.wav","fought_eng","German","3.885416667","o","bilabial"
"5","5ab33d98580b990001730708","stim/fief_g.wav","feel_eng","German","4.015625","i","fricative"
"6","5ab33d98580b990001730708","stim/fof_g.wav","fought_eng","German","3.135416667","o","fricative"
"7","5ab33d98580b990001730708","stim/p_schwa_g.wav","fool_eng","German","2.921875","schwa","bilabial"
"8","5ab33d98580b990001730708","stim/pief_g.wav","feel_eng","German","3.96875","i","bilabial"
"9","5ab33d98580b990001730708","stim/f_schwa_g.wav","son_span","German","3.854166667","schwa","fricative"
"10","5ab33d98580b990001730708","stim/pief_g.wav","fin_span","German","3.828125","i","bilabial"
"11","5ab33d98580b990001730708","stim/peuf_g.wav","su_span","German","3.135416667","y","bilabial"
"12","5ab33d98580b990001730708","stim/fof_g.wav","fought_eng","German","3.916666667","o","fricative"
"13","5ab33d98580b990001730708","stim/fief_g.wav","feel_eng","German","4.177083333","i","fricative"
"14","5ab33d98580b990001730708","stim/pof_g.wav","son_span","German","4.859375","o","bilabial"
"15","5ab33d98580b990001730708","stim/feuf_g.wav","su_span","German","4.03125","y","fricative"
"16","5ab33d98580b990001730708","stim/p_schwa_g.wav","son_span","German","4.921875","schwa","bilabial"
"17","5ab33d98580b990001730708","stim/fief_g.wav","feel_eng","German","4.21875","i","fricative"
"18","5ab33d98580b990001730708","stim/pof_g.wav","son_span","German","4.703125","o","bilabial"
"19","5ab33d98580b990001730708","stim/pief_g.wav","feel_eng","German","3.979166667","i","bilabial"
"20","5ab33d98580b990001730708","stim/peuf_g.wav","fun_eng","German","3.692708333","y","bilabial"
"21","5ab33d98580b990001730708","stim/p_schwa_g.wav","fought_eng","German","2.963541667","schwa","bilabial"
"22","5ab33d98580b990001730708","stim/fof_g.wav","fought_eng","German","4.765625","o","fricative"
"23","5ab33d98580b990001730708","stim/feuf_g.wav","su_span","German","3.958333333","y","fricative"
"24","5ab33d98580b990001730708","stim/f_schwa_g.wav","son_span","German","4.84375","schwa","fricative"
"25","5ab33d98580b990001730708","stim/pof_g.wav","son_span","German","4.041666667","o","bilabial"
"26","5ab33d98580b990001730708","stim/fof_g.wav","fought_eng","German","4.708333333","o","fricative"
"27","5ab33d98580b990001730708","stim/f_schwa_g.wav","son_span","German","4.911458333","schwa","fricative"
"28","5ab33d98580b990001730708","stim/fief_g.wav","feel_eng","German","4.796875","i","fricative"
"29","5ab33d98580b990001730708","stim/peuf_g.wav","fool_eng","German","4.005208333","y","bilabial"
"30","5ab33d98580b990001730708","stim/feuf_g.wav","fun_eng","German","2.947916667","y","fricative"
"31","5ab33d98580b990001730708","stim/pief_g.wav","fin_span","German","4.901041667","i","bilabial"
"32","5ab33d98580b990001730708","stim/p_schwa_g.wav","son_span","German","4.192708333","schwa","bilabial"
"33","5ab33d98580b990001730708","stim/peuf_g.wav","su_span","German","4","y","bilabial"
"34","5ab33d98580b990001730708","stim/fof_g.wav","son_span","German","4.052083333","o","fricative"
"35","5ab33d98580b990001730708","stim/f_schwa_g.wav","son_span","German","3.9375","schwa","fricative"
"36","5ab33d98580b990001730708","stim/fief_g.wav","feel_eng","German","4.75","i","fricative"
"37","5ab33d98580b990001730708","stim/feuf_g.wav","fool_eng","German","3.9375","y","fricative"
"38","5ab33d98580b990001730708","stim/p_schwa_g.wav","son_span","German","3.90625","schwa","bilabial"
"39","5ab33d98580b990001730708","stim/pof_g.wav","son_span","German","3.208333333","o","bilabial"
"40","5ab33d98580b990001730708","stim/pief_g.wav","fin_span","German","4.75","i","bilabial"
"41","5c05922f4e1b7b00016af702","stim/pief_g.wav","fin_span","German","4.005208333","i","bilabial"
"42","5c05922f4e1b7b00016af702","stim/pof_g.wav","feel_eng","German","3.994791667","o","bilabial"
"43","5c05922f4e1b7b00016af702","stim/peuf_g.wav","feel_eng","German","3","y","bilabial"
"44","5c05922f4e1b7b00016af702","stim/feuf_g.wav","fin_span","German","4.979166667","y","fricative"
"45","5c05922f4e1b7b00016af702","stim/fof_g.wav","fool_eng","German","4.026041667","o","fricative"
"46","5c05922f4e1b7b00016af702","stim/p_schwa_g.wav","fought_eng","German","4.9375","schwa","bilabial"
"47","5c05922f4e1b7b00016af702","stim/fief_g.wav","feel_eng","German","4.03125","i","fricative"
"48","5c05922f4e1b7b00016af702","stim/f_schwa_g.wav","fought_eng","German","4.96875","schwa","fricative"
"49","5c05922f4e1b7b00016af702","stim/fief_g.wav","feel_eng","German","4.286458333","i","fricative"
"50","5c05922f4e1b7b00016af702","stim/f_schwa_g.wav","fought_eng","German","4.770833333","schwa","fricative"
"51","5c05922f4e1b7b00016af702","stim/fof_g.wav","fool_eng","German","4.916666667","o","fricative"
"52","5c05922f4e1b7b00016af702","stim/feuf_g.wav","fin_span","German","3.494791667","y","fricative"
"53","5c05922f4e1b7b00016af702","stim/pof_g.wav","fought_eng","German","4.161458333","o","bilabial"
"54","5c05922f4e1b7b00016af702","stim/p_schwa_g.wav","fought_eng","German","4.119791667","schwa","bilabial"
"55","5c05922f4e1b7b00016af702","stim/peuf_g.wav","feel_eng","German","3.510416667","y","bilabial"
"56","5c05922f4e1b7b00016af702","stim/pief_g.wav","fin_span","German","3.322916667","i","bilabial"
"57","5c05922f4e1b7b00016af702","stim/fof_g.wav","fool_eng","German","4.317708333","o","fricative"
"58","5c05922f4e1b7b00016af702","stim/pof_g.wav","fool_eng","German","4.322916667","o","bilabial"
"59","5c05922f4e1b7b00016af702","stim/peuf_g.wav","son_span","German","4.338541667","y","bilabial"
"60","5c05922f4e1b7b00016af702","stim/p_schwa_g.wav","fought_eng","German","3.895833333","schwa","bilabial"
"61","5c05922f4e1b7b00016af702","stim/fief_g.wav","fin_span","German","3.166666667","i","fricative"
"62","5c05922f4e1b7b00016af702","stim/pief_g.wav","fin_span","German","3.666666667","i","bilabial"
"63","5c05922f4e1b7b00016af702","stim/f_schwa_g.wav","fought_eng","German","3.59375","schwa","fricative"
"64","5c05922f4e1b7b00016af702","stim/feuf_g.wav","su_span","German","3.395833333","y","fricative"
"65","5c05922f4e1b7b00016af702","stim/peuf_g.wav","fought_eng","German","3.78125","y","bilabial"
"66","5c05922f4e1b7b00016af702","stim/fief_g.wav","fin_span","German","3.130208333","i","fricative"
"67","5c05922f4e1b7b00016af702","stim/pief_g.wav","fool_eng","German","3.291666667","i","bilabial"
"68","5c05922f4e1b7b00016af702","stim/feuf_g.wav","su_span","German","4.322916667","y","fricative"
"69","5c05922f4e1b7b00016af702","stim/pof_g.wav","son_span","German","2.677083333","o","bilabial"
"70","5c05922f4e1b7b00016af702","stim/fof_g.wav","su_span","German","3.432291667","o","fricative"
"71","5c05922f4e1b7b00016af702","stim/p_schwa_g.wav","fought_eng","German","4.244791667","schwa","bilabial"
"72","5c05922f4e1b7b00016af702","stim/f_schwa_g.wav","fought_eng","German","4.161458333","schwa","fricative"
"73","5c05922f4e1b7b00016af702","stim/fof_g.wav","fool_eng","German","3.244791667","o","fricative"
"74","5c05922f4e1b7b00016af702","stim/peuf_g.wav","feel_eng","German","3.317708333","y","bilabial"
"75","5c05922f4e1b7b00016af702","stim/feuf_g.wav","feel_eng","German","4.4375","y","fricative"
"76","5c05922f4e1b7b00016af702","stim/pief_g.wav","fin_span","German","3.354166667","i","bilabial"
"77","5c05922f4e1b7b00016af702","stim/pof_g.wav","fought_eng","German","3.223958333","o","bilabial"
"78","5c05922f4e1b7b00016af702","stim/f_schwa_g.wav","fought_eng","German","4.166666667","schwa","fricative"
"79","5c05922f4e1b7b00016af702","stim/fief_g.wav","feel_eng","German","3.510416667","i","fricative"
"80","5c05922f4e1b7b00016af702","stim/p_schwa_g.wav","fought_eng","German","4.59375","schwa","bilabial"
"81","5e3f7b673ba9991dc9cabcfa","stim/pief_g.wav","feel_eng","German","2.996296296","i","bilabial"
"82","5e3f7b673ba9991dc9cabcfa","stim/pof_g.wav","fool_eng","German","1.97037037","o","bilabial"
"83","5e3f7b673ba9991dc9cabcfa","stim/fief_g.wav","fin_span","German","3.062962963","i","fricative"
"84","5e3f7b673ba9991dc9cabcfa","stim/fof_g.wav","fool_eng","German","3.02962963","o","fricative"
"85","5e3f7b673ba9991dc9cabcfa","stim/peuf_g.wav","fun_eng","German","3.988888889","y","bilabial"
"86","5e3f7b673ba9991dc9cabcfa","stim/feuf_g.wav","fin_span","German","4.062962963","y","fricative"
"87","5e3f7b673ba9991dc9cabcfa","stim/p_schwa_g.wav","fought_eng","German","4.996296296","schwa","bilabial"
"88","5e3f7b673ba9991dc9cabcfa","stim/f_schwa_g.wav","fought_eng","German","4.988888889","schwa","fricative"
"89","5e3f7b673ba9991dc9cabcfa","stim/peuf_g.wav","fool_eng","German","4.022222222","y","bilabial"
"90","5e3f7b673ba9991dc9cabcfa","stim/p_schwa_g.wav","fought_eng","German","4.022222222","schwa","bilabial"
"91","5e3f7b673ba9991dc9cabcfa","stim/feuf_g.wav","fought_eng","German","4.022222222","y","fricative"
"92","5e3f7b673ba9991dc9cabcfa","stim/pief_g.wav","feel_eng","German","4.022222222","i","bilabial"
"93","5e3f7b673ba9991dc9cabcfa","stim/pof_g.wav","fought_eng","German","4.981481481","o","bilabial"
"94","5e3f7b673ba9991dc9cabcfa","stim/f_schwa_g.wav","fought_eng","German","4.981481481","schwa","fricative"
"95","5e3f7b673ba9991dc9cabcfa","stim/fof_g.wav","fool_eng","German","4.981481481","o","fricative"
"96","5e3f7b673ba9991dc9cabcfa","stim/fief_g.wav","fin_span","German","4.981481481","i","fricative"
"97","5e3f7b673ba9991dc9cabcfa","stim/feuf_g.wav","fought_eng","German","4.981481481","y","fricative"
"98","5e3f7b673ba9991dc9cabcfa","stim/pief_g.wav","feel_eng","German","4.985185185","i","bilabial"
"99","5e3f7b673ba9991dc9cabcfa","stim/peuf_g.wav","fool_eng","German","4.985185185","y","bilabial"
"100","5e3f7b673ba9991dc9cabcfa","stim/p_schwa_g.wav","fought_eng","German","4.985185185","schwa","bilabial"
"101","5e3f7b673ba9991dc9cabcfa","stim/fof_g.wav","fought_eng","German","4.966666667","o","fricative"
"102","5e3f7b673ba9991dc9cabcfa","stim/pof_g.wav","fought_eng","German","4.966666667","o","bilabial"
"103","5e3f7b673ba9991dc9cabcfa","stim/fief_g.wav","feel_eng","German","4.966666667","i","fricative"
"104","5e3f7b673ba9991dc9cabcfa","stim/f_schwa_g.wav","fought_eng","German","4.966666667","schwa","fricative"
"105","5e3f7b673ba9991dc9cabcfa","stim/pof_g.wav","fool_eng","German","4.966666667","o","bilabial"
"106","5e3f7b673ba9991dc9cabcfa","stim/fof_g.wav","fool_eng","German","4.966666667","o","fricative"
"107","5e3f7b673ba9991dc9cabcfa","stim/feuf_g.wav","fought_eng","German","4.966666667","y","fricative"
"108","5e3f7b673ba9991dc9cabcfa","stim/p_schwa_g.wav","fun_eng","German","4.966666667","schwa","bilabial"
"109","5e3f7b673ba9991dc9cabcfa","stim/pief_g.wav","feel_eng","German","4.966666667","i","bilabial"
"110","5e3f7b673ba9991dc9cabcfa","stim/peuf_g.wav","feel_eng","German","4.966666667","y","bilabial"
"111","5e3f7b673ba9991dc9cabcfa","stim/f_schwa_g.wav","fought_eng","German","4.966666667","schwa","fricative"
"112","5e3f7b673ba9991dc9cabcfa","stim/fief_g.wav","feel_eng","German","3.018518519","i","fricative"
"113","5e3f7b673ba9991dc9cabcfa","stim/p_schwa_g.wav","fought_eng","German","4.988888889","schwa","bilabial"
"114","5e3f7b673ba9991dc9cabcfa","stim/fief_g.wav","feel_eng","German","4.988888889","i","fricative"
"115","5e3f7b673ba9991dc9cabcfa","stim/pief_g.wav","fin_span","German","4.988888889","i","bilabial"
"116","5e3f7b673ba9991dc9cabcfa","stim/peuf_g.wav","fin_span","German","4.988888889","y","bilabial"
"117","5e3f7b673ba9991dc9cabcfa","stim/f_schwa_g.wav","fought_eng","German","4.988888889","schwa","fricative"
"118","5e3f7b673ba9991dc9cabcfa","stim/fof_g.wav","fool_eng","German","4.988888889","o","fricative"
"119","5e3f7b673ba9991dc9cabcfa","stim/pof_g.wav","fool_eng","German","4.988888889","o","bilabial"
"120","5e3f7b673ba9991dc9cabcfa","stim/feuf_g.wav","fought_eng","German","4.988888889","y","fricative"
"121","5e9fdd5effe6a51855448d1b","stim/f_schwa_g.wav","fun_eng","German","3.010416667","schwa","fricative"
"122","5e9fdd5effe6a51855448d1b","stim/peuf_g.wav","fought_eng","German","2","y","bilabial"
"123","5e9fdd5effe6a51855448d1b","stim/p_schwa_g.wav","fought_eng","German","2.005208333","schwa","bilabial"
"124","5e9fdd5effe6a51855448d1b","stim/pof_g.wav","fought_eng","German","3.989583333","o","bilabial"
"125","5e9fdd5effe6a51855448d1b","stim/feuf_g.wav","feel_eng","German","1.989583333","y","fricative"
"126","5e9fdd5effe6a51855448d1b","stim/fof_g.wav","fought_eng","German","1.994791667","o","fricative"
"127","5e9fdd5effe6a51855448d1b","stim/fief_g.wav","fin_span","German","2.708333333","i","fricative"
"128","5e9fdd5effe6a51855448d1b","stim/pief_g.wav","fin_span","German","3","i","bilabial"
"129","5e9fdd5effe6a51855448d1b","stim/pof_g.wav","fought_eng","German","2.979166667","o","bilabial"
"130","5e9fdd5effe6a51855448d1b","stim/pief_g.wav","fin_span","German","3.015625","i","bilabial"
"131","5e9fdd5effe6a51855448d1b","stim/fof_g.wav","fought_eng","German","2.994791667","o","fricative"
"132","5e9fdd5effe6a51855448d1b","stim/fief_g.wav","feel_eng","German","3","i","fricative"
"133","5e9fdd5effe6a51855448d1b","stim/feuf_g.wav","fun_eng","German","2","y","fricative"
"134","5e9fdd5effe6a51855448d1b","stim/p_schwa_g.wav","fought_eng","German","2.026041667","schwa","bilabial"
"135","5e9fdd5effe6a51855448d1b","stim/f_schwa_g.wav","fought_eng","German","2.989583333","schwa","fricative"
"136","5e9fdd5effe6a51855448d1b","stim/peuf_g.wav","fought_eng","German","3.979166667","y","bilabial"
"137","5e9fdd5effe6a51855448d1b","stim/peuf_g.wav","fought_eng","German","3.994791667","y","bilabial"
"138","5e9fdd5effe6a51855448d1b","stim/feuf_g.wav","fought_eng","German","3.0625","y","fricative"
"139","5e9fdd5effe6a51855448d1b","stim/pief_g.wav","fin_span","German","3.005208333","i","bilabial"
"140","5e9fdd5effe6a51855448d1b","stim/pof_g.wav","fought_eng","German","4.979166667","o","bilabial"
"141","5e9fdd5effe6a51855448d1b","stim/p_schwa_g.wav","fought_eng","German","3.005208333","schwa","bilabial"
"142","5e9fdd5effe6a51855448d1b","stim/fof_g.wav","fought_eng","German","3.010416667","o","fricative"
"143","5e9fdd5effe6a51855448d1b","stim/fief_g.wav","feel_eng","German","2.953125","i","fricative"
"144","5e9fdd5effe6a51855448d1b","stim/f_schwa_g.wav","fought_eng","German","4.010416667","schwa","fricative"
"145","5e9fdd5effe6a51855448d1b","stim/p_schwa_g.wav","fought_eng","German","2.989583333","schwa","bilabial"
"146","5e9fdd5effe6a51855448d1b","stim/fof_g.wav","fought_eng","German","4.96875","o","fricative"
"147","5e9fdd5effe6a51855448d1b","stim/peuf_g.wav","fought_eng","German","4.953125","y","bilabial"
"148","5e9fdd5effe6a51855448d1b","stim/feuf_g.wav","feel_eng","German","3.010416667","y","fricative"
"149","5e9fdd5effe6a51855448d1b","stim/fief_g.wav","feel_eng","German","3","i","fricative"
"150","5e9fdd5effe6a51855448d1b","stim/f_schwa_g.wav","fought_eng","German","3.005208333","schwa","fricative"
"151","5e9fdd5effe6a51855448d1b","stim/pof_g.wav","fought_eng","German","4.015625","o","bilabial"
"152","5e9fdd5effe6a51855448d1b","stim/pief_g.wav","feel_eng","German","3.036458333","i","bilabial"
"153","5e9fdd5effe6a51855448d1b","stim/pof_g.wav","fought_eng","German","3.96875","o","bilabial"
"154","5e9fdd5effe6a51855448d1b","stim/pief_g.wav","feel_eng","German","3.005208333","i","bilabial"
