"","estimate","hdi_hi","hdi_lo","language","phoneme","frame"
"1",0.62001536498795,0.643617590826035,0.595569297354142,"french","i","b"
"2",0.704426760990715,0.725110464504178,0.682631498355293,"french","o","b"
"3",0.694802902551888,0.715888444686155,0.672627787791566,"french","schwa","b"
"4",0.621800241032016,0.645355015912426,0.597394438398338,"french","y","b"
"5",0.637379020270697,0.660493299942693,0.61335341238628,"german","i","b"
"6",0.603850809256322,0.627854429997947,0.57907081932734,"german","o","b"
"7",0.61593421788175,0.639642605546169,0.59139862274155,"german","schwa","b"
"8",0.623529800764334,0.647038002727819,0.599163660427079,"german","y","b"
