"","stim","resp","language","response","rating","rating_sd","phoneme","frame"
"1","stim/f_schwa_f.wav","feel","eng",16,1.9219584600625,0.732417795968068,"schwa","fricative"
"2","stim/f_schwa_f.wav","fin","span",10,1.4380526147,0.707088788576196,"schwa","fricative"
"3","stim/f_schwa_f.wav","fool","eng",5,2.5319947202,0.995585439313378,"schwa","fricative"
"4","stim/f_schwa_f.wav","fought","eng",27,2.16419882885185,0.829204092707035,"schwa","fricative"
"5","stim/f_schwa_f.wav","fun","eng",60,2.68201213456667,0.977099941550564,"schwa","fricative"
"6","stim/f_schwa_f.wav","son","span",8,2.795174299375,1.04135473255306,"schwa","fricative"
"7","stim/f_schwa_f.wav","su","span",9,2.58589183211111,1.11286900621982,"schwa","fricative"
"8","stim/feuf_f.wav","feel","eng",5,1.7116190474,0.720263998081895,"y","fricative"
"9","stim/feuf_f.wav","fool","eng",62,3.15669606566129,0.706024774602527,"y","fricative"
"10","stim/feuf_f.wav","fought","eng",9,2.04017513322222,0.754043427797751,"y","fricative"
"11","stim/feuf_f.wav","fun","eng",5,2.9996296294,1.1582435592518,"y","fricative"
"12","stim/feuf_f.wav","su","span",54,3.33534452896296,0.712045568111075,"y","fricative"
"13","stim/fif_f.wav","feel","eng",62,3.39998635670968,0.865234375798136,"i","fricative"
"14","stim/fif_f.wav","fin","span",68,3.67833827408824,0.836247820735811,"i","fricative"
"15","stim/fif_f.wav","fool","eng",4,1.3876190475,0.0121964267396405,"i","fricative"
"16","stim/fif_f.wav","su","span",1,2.007407577,NA,"i","fricative"
"17","stim/fof_f.wav","feel","eng",4,2.0002306545,0.996702777047244,"o","fricative"
"18","stim/fof_f.wav","fool","eng",6,2.02578047033333,0.971037369773889,"o","fricative"
"19","stim/fof_f.wav","fought","eng",30,2.74039693723333,0.864566727636667,"o","fricative"
"20","stim/fof_f.wav","fun","eng",81,3.17643613639506,0.977132698457785,"o","fricative"
"21","stim/fof_f.wav","son","span",9,3.24716866711111,0.91157041515551,"o","fricative"
"22","stim/fof_f.wav","su","span",5,1.4148148768,0.553781109520415,"o","fricative"
"23","stim/p_schwa_f.wav","feel","eng",13,1.94127903669231,0.785019833909277,"schwa","bilabial"
"24","stim/p_schwa_f.wav","fin","span",8,1.683920530625,0.978171509806633,"schwa","bilabial"
"25","stim/p_schwa_f.wav","fool","eng",7,2.16690415314286,0.919675134172713,"schwa","bilabial"
"26","stim/p_schwa_f.wav","fought","eng",28,2.23501983964286,0.865891354941667,"schwa","bilabial"
"27","stim/p_schwa_f.wav","fun","eng",63,2.56412734731746,1.02342226353386,"schwa","bilabial"
"28","stim/p_schwa_f.wav","son","span",10,2.1476951498,1.13772575162891,"schwa","bilabial"
"29","stim/p_schwa_f.wav","su","span",6,2.66694078683333,1.37203838690277,"schwa","bilabial"
"30","stim/peuf_f.wav","feel","eng",6,2.124154344,1.05276034037496,"y","bilabial"
"31","stim/peuf_f.wav","fin","span",3,2.63666666666667,0.383118599420887,"y","bilabial"
"32","stim/peuf_f.wav","fool","eng",52,2.94916307957692,0.742489785503626,"y","bilabial"
"33","stim/peuf_f.wav","fought","eng",5,1.5537449776,0.373372568064146,"y","bilabial"
"34","stim/peuf_f.wav","fun","eng",4,2.89344189675,0.793091505922826,"y","bilabial"
"35","stim/peuf_f.wav","son","span",3,3.048143113,0.935446962168935,"y","bilabial"
"36","stim/peuf_f.wav","su","span",62,3.27410271706452,0.827309568311993,"y","bilabial"
"37","stim/pif_f.wav","feel","eng",62,2.94503364019355,0.93243214081346,"i","bilabial"
"38","stim/pif_f.wav","fin","span",68,3.61923897980882,0.898951723391069,"i","bilabial"
"39","stim/pif_f.wav","fool","eng",2,1.380952381,0.0161624401067438,"i","bilabial"
"40","stim/pif_f.wav","fought","eng",2,1.6703795415,0.757417880509203,"i","bilabial"
"41","stim/pif_f.wav","su","span",1,1.106481481,NA,"i","bilabial"
"42","stim/pof_f.wav","feel","eng",2,1.379047619,0.00808122076047872,"o","bilabial"
"43","stim/pof_f.wav","fool","eng",7,2.35641537614286,0.69491104272243,"o","bilabial"
"44","stim/pof_f.wav","fought","eng",35,2.33984703808571,1.02250091728907,"o","bilabial"
"45","stim/pof_f.wav","fun","eng",73,3.16539417750685,0.979630613939647,"o","bilabial"
"46","stim/pof_f.wav","son","span",8,3.269464610375,0.844363683110192,"o","bilabial"
"47","stim/pof_f.wav","su","span",10,2.7000359309,0.806449649591158,"o","bilabial"
