"","participant","stim","resp","stim_language","slider.response","phoneme","frame"
"1","565a4547c51d43000587507d","stim/f_schwa_g.wav","fought_eng","German",3,"schwa","fricative"
"2","565a4547c51d43000587507d","stim/pof_g.wav","fool_eng","German",2.98699187,"o","bilabial"
"3","565a4547c51d43000587507d","stim/fief_g.wav","fin_span","German",3.995121951,"i","fricative"
"4","565a4547c51d43000587507d","stim/feuf_g.wav","su_span","German",2.967479675,"y","fricative"
"5","565a4547c51d43000587507d","stim/peuf_g.wav","fool_eng","German",2.98699187,"y","bilabial"
"6","565a4547c51d43000587507d","stim/fof_g.wav","fool_eng","German",2.954471545,"o","fricative"
"7","565a4547c51d43000587507d","stim/pief_g.wav","fin_span","German",2.98699187,"i","bilabial"
"8","565a4547c51d43000587507d","stim/p_schwa_g.wav","fun_eng","German",2.011382114,"schwa","bilabial"
"9","565a4547c51d43000587507d","stim/peuf_g.wav","su_span","German",3,"y","bilabial"
"10","565a4547c51d43000587507d","stim/feuf_g.wav","fool_eng","German",2.97398374,"y","fricative"
"11","565a4547c51d43000587507d","stim/p_schwa_g.wav","fun_eng","German",3,"schwa","bilabial"
"12","565a4547c51d43000587507d","stim/fof_g.wav","feel_eng","German",1.985365854,"o","fricative"
"13","565a4547c51d43000587507d","stim/fief_g.wav","fin_span","German",2.97398374,"i","fricative"
"14","565a4547c51d43000587507d","stim/pief_g.wav","fin_span","German",2.98699187,"i","bilabial"
"15","565a4547c51d43000587507d","stim/f_schwa_g.wav","fun_eng","German",3.05203252,"schwa","fricative"
"16","565a4547c51d43000587507d","stim/pof_g.wav","fool_eng","German",3.006504065,"o","bilabial"
"17","565a4547c51d43000587507d","stim/fof_g.wav","fool_eng","German",3.975609756,"o","fricative"
"18","565a4547c51d43000587507d","stim/pof_g.wav","fool_eng","German",2.97398374,"o","bilabial"
"19","565a4547c51d43000587507d","stim/peuf_g.wav","su_span","German",3.006504065,"y","bilabial"
"20","565a4547c51d43000587507d","stim/p_schwa_g.wav","fun_eng","German",4.060162602,"schwa","bilabial"
"21","565a4547c51d43000587507d","stim/feuf_g.wav","fool_eng","German",2.92195122,"y","fricative"
"22","565a4547c51d43000587507d","stim/fief_g.wav","fin_span","German",3.006504065,"i","fricative"
"23","565a4547c51d43000587507d","stim/pief_g.wav","feel_eng","German",3.006504065,"i","bilabial"
"24","565a4547c51d43000587507d","stim/f_schwa_g.wav","fun_eng","German",2.980487805,"schwa","fricative"
"25","565a4547c51d43000587507d","stim/feuf_g.wav","su_span","German",3.02601626,"y","fricative"
"26","565a4547c51d43000587507d","stim/peuf_g.wav","su_span","German",2.908943089,"y","bilabial"
"27","565a4547c51d43000587507d","stim/pief_g.wav","fin_span","German",3.058536585,"i","bilabial"
"28","565a4547c51d43000587507d","stim/pof_g.wav","fool_eng","German",1.920325203,"o","bilabial"
"29","565a4547c51d43000587507d","stim/f_schwa_g.wav","fun_eng","German",3.982113821,"schwa","fricative"
"30","565a4547c51d43000587507d","stim/fof_g.wav","fool_eng","German",3.032520325,"o","fricative"
"31","565a4547c51d43000587507d","stim/fief_g.wav","feel_eng","German",3.949593496,"i","fricative"
"32","565a4547c51d43000587507d","stim/p_schwa_g.wav","fun_eng","German",4.027642276,"schwa","bilabial"
"33","565a4547c51d43000587507d","stim/feuf_g.wav","fool_eng","German",3.917073171,"y","fricative"
"34","565a4547c51d43000587507d","stim/pof_g.wav","su_span","German",3.045528455,"o","bilabial"
"35","565a4547c51d43000587507d","stim/peuf_g.wav","su_span","German",3.019512195,"y","bilabial"
"36","565a4547c51d43000587507d","stim/p_schwa_g.wav","fun_eng","German",3.045528455,"schwa","bilabial"
"37","565a4547c51d43000587507d","stim/fief_g.wav","fin_span","German",3.07804878,"i","fricative"
"38","565a4547c51d43000587507d","stim/pief_g.wav","feel_eng","German",3.03902439,"i","bilabial"
"39","565a4547c51d43000587507d","stim/fof_g.wav","fool_eng","German",2.980487805,"o","fricative"
"40","565a4547c51d43000587507d","stim/f_schwa_g.wav","fun_eng","German",1.861788618,"schwa","fricative"
"41","5898b6e256357700011c2c6b","stim/p_schwa_g.wav","fought_eng","German",3.038095238,"schwa","bilabial"
"42","5898b6e256357700011c2c6b","stim/fief_g.wav","feel_eng","German",3.04952381,"i","fricative"
"43","5898b6e256357700011c2c6b","stim/peuf_g.wav","fool_eng","German",3.925714286,"y","bilabial"
"44","5898b6e256357700011c2c6b","stim/feuf_g.wav","fool_eng","German",3.96,"y","fricative"
"45","5898b6e256357700011c2c6b","stim/fof_g.wav","fought_eng","German",3.091428571,"o","fricative"
"46","5898b6e256357700011c2c6b","stim/pief_g.wav","feel_eng","German",1.099047619,"i","bilabial"
"47","5898b6e256357700011c2c6b","stim/f_schwa_g.wav","fought_eng","German",1.96,"schwa","fricative"
"48","5898b6e256357700011c2c6b","stim/pof_g.wav","fought_eng","German",1.96,"o","bilabial"
"49","5898b6e256357700011c2c6b","stim/pief_g.wav","fool_eng","German",1,"i","bilabial"
"50","5898b6e256357700011c2c6b","stim/f_schwa_g.wav","fun_eng","German",1.007619048,"schwa","fricative"
"51","5898b6e256357700011c2c6b","stim/peuf_g.wav","fool_eng","German",2.96952381,"y","bilabial"
"52","5898b6e256357700011c2c6b","stim/fief_g.wav","feel_eng","German",2.066666667,"i","fricative"
"53","5898b6e256357700011c2c6b","stim/feuf_g.wav","feel_eng","German",2.097142857,"y","fricative"
"54","5898b6e256357700011c2c6b","stim/pof_g.wav","fool_eng","German",3.034285714,"o","bilabial"
"55","5898b6e256357700011c2c6b","stim/fof_g.wav","fool_eng","German",3.034285714,"o","fricative"
"56","5898b6e256357700011c2c6b","stim/p_schwa_g.wav","fought_eng","German",1.807619048,"schwa","bilabial"
"57","5898b6e256357700011c2c6b","stim/feuf_g.wav","feel_eng","German",1.994285714,"y","fricative"
"58","5898b6e256357700011c2c6b","stim/fief_g.wav","feel_eng","German",2.005714286,"i","fricative"
"59","5898b6e256357700011c2c6b","stim/f_schwa_g.wav","fought_eng","German",2.005714286,"schwa","fricative"
"60","5898b6e256357700011c2c6b","stim/pof_g.wav","fool_eng","German",2.954285714,"o","bilabial"
"61","5898b6e256357700011c2c6b","stim/pief_g.wav","feel_eng","German",1.026666667,"i","bilabial"
"62","5898b6e256357700011c2c6b","stim/p_schwa_g.wav","fought_eng","German",1.091428571,"schwa","bilabial"
"63","5898b6e256357700011c2c6b","stim/peuf_g.wav","feel_eng","German",1.091428571,"y","bilabial"
"64","5898b6e256357700011c2c6b","stim/fof_g.wav","fool_eng","German",2.135238095,"o","fricative"
"65","5898b6e256357700011c2c6b","stim/pief_g.wav","feel_eng","German",1.678095238,"i","bilabial"
"66","5898b6e256357700011c2c6b","stim/p_schwa_g.wav","fought_eng","German",1.171428571,"schwa","bilabial"
"67","5898b6e256357700011c2c6b","stim/f_schwa_g.wav","fought_eng","German",1.171428571,"schwa","fricative"
"68","5898b6e256357700011c2c6b","stim/feuf_g.wav","feel_eng","German",1.171428571,"y","fricative"
"69","5898b6e256357700011c2c6b","stim/fof_g.wav","fool_eng","German",1.708571429,"o","fricative"
"70","5898b6e256357700011c2c6b","stim/peuf_g.wav","feel_eng","German",1.887619048,"y","bilabial"
"71","5898b6e256357700011c2c6b","stim/pof_g.wav","fool_eng","German",1.739047619,"o","bilabial"
"72","5898b6e256357700011c2c6b","stim/fief_g.wav","feel_eng","German",1.739047619,"i","fricative"
"73","5898b6e256357700011c2c6b","stim/fof_g.wav","fool_eng","German",1.739047619,"o","fricative"
"74","5898b6e256357700011c2c6b","stim/fief_g.wav","feel_eng","German",1.739047619,"i","fricative"
"75","5898b6e256357700011c2c6b","stim/f_schwa_g.wav","fun_eng","German",1.739047619,"schwa","fricative"
"76","5898b6e256357700011c2c6b","stim/peuf_g.wav","fool_eng","German",1.75047619,"y","bilabial"
"77","5898b6e256357700011c2c6b","stim/pof_g.wav","fool_eng","German",1.75047619,"o","bilabial"
"78","5898b6e256357700011c2c6b","stim/feuf_g.wav","feel_eng","German",1.75047619,"y","fricative"
"79","5898b6e256357700011c2c6b","stim/p_schwa_g.wav","fought_eng","German",1.75047619,"schwa","bilabial"
"80","5898b6e256357700011c2c6b","stim/pief_g.wav","feel_eng","German",1.75047619,"i","bilabial"
"81","5a5479b4ac56240001537ffa","stim/feuf_g.wav","fool_eng","German",3.814814815,"y","fricative"
"82","5a5479b4ac56240001537ffa","stim/fief_g.wav","feel_eng","German",3.97037054,"i","fricative"
"83","5a5479b4ac56240001537ffa","stim/pof_g.wav","fought_eng","German",3.988889058,"o","bilabial"
"84","5a5479b4ac56240001537ffa","stim/fof_g.wav","fought_eng","German",3.677777891,"o","fricative"
"85","5a5479b4ac56240001537ffa","stim/f_schwa_g.wav","fun_eng","German",3.677777891,"schwa","fricative"
"86","5a5479b4ac56240001537ffa","stim/peuf_g.wav","fool_eng","German",2.407407407,"y","bilabial"
"87","5a5479b4ac56240001537ffa","stim/pief_g.wav","feel_eng","German",2.022222166,"i","bilabial"
"88","5a5479b4ac56240001537ffa","stim/p_schwa_g.wav","fun_eng","German",1.981481481,"schwa","bilabial"
"89","5a5479b4ac56240001537ffa","stim/fief_g.wav","feel_eng","German",4.007407577,"i","fricative"
"90","5a5479b4ac56240001537ffa","stim/f_schwa_g.wav","fun_eng","German",1.955555669,"schwa","fricative"
"91","5a5479b4ac56240001537ffa","stim/p_schwa_g.wav","fun_eng","German",2.018518519,"schwa","bilabial"
"92","5a5479b4ac56240001537ffa","stim/feuf_g.wav","fool_eng","German",3.992592706,"y","fricative"
"93","5a5479b4ac56240001537ffa","stim/fof_g.wav","fool_eng","German",1.411111196,"o","fricative"
"94","5a5479b4ac56240001537ffa","stim/pief_g.wav","feel_eng","German",3.444444444,"i","bilabial"
"95","5a5479b4ac56240001537ffa","stim/peuf_g.wav","fool_eng","German",1.996296353,"y","bilabial"
"96","5a5479b4ac56240001537ffa","stim/pof_g.wav","fool_eng","German",1.425925926,"o","bilabial"
"97","5a5479b4ac56240001537ffa","stim/fief_g.wav","feel_eng","German",3.359259429,"i","fricative"
"98","5a5479b4ac56240001537ffa","stim/fof_g.wav","fool_eng","German",2.40370376,"o","fricative"
"99","5a5479b4ac56240001537ffa","stim/peuf_g.wav","fool_eng","German",1.996296353,"y","bilabial"
"100","5a5479b4ac56240001537ffa","stim/p_schwa_g.wav","fun_eng","German",1.35555564,"schwa","bilabial"
"101","5a5479b4ac56240001537ffa","stim/pof_g.wav","fought_eng","German",2.018518519,"o","bilabial"
"102","5a5479b4ac56240001537ffa","stim/pief_g.wav","feel_eng","German",2.988889058,"i","bilabial"
"103","5a5479b4ac56240001537ffa","stim/f_schwa_g.wav","fun_eng","German",2.97037054,"schwa","fricative"
"104","5a5479b4ac56240001537ffa","stim/feuf_g.wav","fool_eng","German",3.570370427,"y","fricative"
"105","5a5479b4ac56240001537ffa","stim/p_schwa_g.wav","fun_eng","German",2.011111224,"schwa","bilabial"
"106","5a5479b4ac56240001537ffa","stim/fof_g.wav","fool_eng","German",3,"o","fricative"
"107","5a5479b4ac56240001537ffa","stim/pof_g.wav","fool_eng","German",3.011111224,"o","bilabial"
"108","5a5479b4ac56240001537ffa","stim/pief_g.wav","feel_eng","German",3.951852021,"i","bilabial"
"109","5a5479b4ac56240001537ffa","stim/fief_g.wav","feel_eng","German",3.022222166,"i","fricative"
"110","5a5479b4ac56240001537ffa","stim/peuf_g.wav","fool_eng","German",1.477777834,"y","bilabial"
