"","participant","stim","resp","language","slider_2.response","phoneme","frame"
"1","565a4547c51d43000587507d","stim/p_schwa_f.wav","fin_span","french",2.577235772,"schwa","bilabial"
"2","565a4547c51d43000587507d","stim/f_schwa_f.wav","fin_span","french",1.029268293,"schwa","fricative"
"3","565a4547c51d43000587507d","stim/peuf_f.wav","su_span","french",3.019512195,"y","bilabial"
"4","565a4547c51d43000587507d","stim/pif_f.wav","fin_span","french",1.985365854,"i","bilabial"
"5","565a4547c51d43000587507d","stim/fif_f.wav","fin_span","french",2.043902439,"i","fricative"
"6","565a4547c51d43000587507d","stim/feuf_f.wav","su_span","french",1.965853659,"y","fricative"
"7","565a4547c51d43000587507d","stim/fof_f.wav","fun_eng","french",1.998373984,"o","fricative"
"8","565a4547c51d43000587507d","stim/pof_f.wav","fun_eng","french",1.972357724,"o","bilabial"
"9","565a4547c51d43000587507d","stim/fif_f.wav","fin_span","french",3,"i","fricative"
"10","565a4547c51d43000587507d","stim/feuf_f.wav","fool_eng","french",2.993495935,"y","fricative"
"11","565a4547c51d43000587507d","stim/pif_f.wav","feel_eng","french",3,"i","bilabial"
"12","565a4547c51d43000587507d","stim/f_schwa_f.wav","fin_span","french",1.035772358,"schwa","fricative"
"13","565a4547c51d43000587507d","stim/fof_f.wav","fun_eng","french",1.055284553,"o","fricative"
"14","565a4547c51d43000587507d","stim/p_schwa_f.wav","fought_eng","french",1.074796748,"schwa","bilabial"
"15","565a4547c51d43000587507d","stim/peuf_f.wav","su_span","french",2.993495935,"y","bilabial"
"16","565a4547c51d43000587507d","stim/pof_f.wav","fun_eng","french",3.032520325,"o","bilabial"
"17","565a4547c51d43000587507d","stim/fof_f.wav","fun_eng","french",2.96097561,"o","fricative"
"18","565a4547c51d43000587507d","stim/fif_f.wav","fin_span","french",3.962601626,"i","fricative"
"19","565a4547c51d43000587507d","stim/pif_f.wav","feel_eng","french",1.978861789,"i","bilabial"
"20","565a4547c51d43000587507d","stim/f_schwa_f.wav","fin_span","french",1.003252033,"schwa","fricative"
"21","565a4547c51d43000587507d","stim/peuf_f.wav","su_span","french",2.97398374,"y","bilabial"
"22","565a4547c51d43000587507d","stim/feuf_f.wav","fool_eng","french",4.027642276,"y","fricative"
"23","565a4547c51d43000587507d","stim/pof_f.wav","fun_eng","french",3.917073171,"o","bilabial"
"24","565a4547c51d43000587507d","stim/p_schwa_f.wav","fin_span","french",1.016260163,"schwa","bilabial"
"25","565a4547c51d43000587507d","stim/pif_f.wav","fin_span","french",2.024390244,"i","bilabial"
"26","565a4547c51d43000587507d","stim/fof_f.wav","fun_eng","french",3.03902439,"o","fricative"
"27","565a4547c51d43000587507d","stim/fif_f.wav","feel_eng","french",2.98699187,"i","fricative"
"28","565a4547c51d43000587507d","stim/pof_f.wav","fun_eng","french",3.03902439,"o","bilabial"
"29","565a4547c51d43000587507d","stim/feuf_f.wav","su_span","french",3.006504065,"y","fricative"
"30","565a4547c51d43000587507d","stim/f_schwa_f.wav","fin_span","french",1.016260163,"schwa","fricative"
"31","565a4547c51d43000587507d","stim/peuf_f.wav","su_span","french",3.01300813,"y","bilabial"
"32","565a4547c51d43000587507d","stim/p_schwa_f.wav","fin_span","french",1.003252033,"schwa","bilabial"
"33","565a4547c51d43000587507d","stim/p_schwa_f.wav","fin_span","french",1.022764228,"schwa","bilabial"
"34","565a4547c51d43000587507d","stim/pof_f.wav","fun_eng","french",4.040650407,"o","bilabial"
"35","565a4547c51d43000587507d","stim/fif_f.wav","feel_eng","french",3.01300813,"i","fricative"
"36","565a4547c51d43000587507d","stim/f_schwa_f.wav","fin_span","french",1.016260163,"schwa","fricative"
"37","565a4547c51d43000587507d","stim/feuf_f.wav","su_span","french",4.079674797,"y","fricative"
"38","565a4547c51d43000587507d","stim/pif_f.wav","fin_span","french",2.96097561,"i","bilabial"
"39","565a4547c51d43000587507d","stim/fof_f.wav","fun_eng","french",3.975609756,"o","fricative"
"40","565a4547c51d43000587507d","stim/peuf_f.wav","su_span","french",2.967479675,"y","bilabial"
"41","5898b6e256357700011c2c6b","stim/p_schwa_f.wav","fought_eng","french",1.742857143,"schwa","bilabial"
"42","5898b6e256357700011c2c6b","stim/pif_f.wav","fool_eng","french",1.36952381,"i","bilabial"
"43","5898b6e256357700011c2c6b","stim/fif_f.wav","fool_eng","french",1.36952381,"i","fricative"
"44","5898b6e256357700011c2c6b","stim/pof_f.wav","feel_eng","french",1.373333333,"o","bilabial"
"45","5898b6e256357700011c2c6b","stim/f_schwa_f.wav","feel_eng","french",1.377142857,"schwa","fricative"
"46","5898b6e256357700011c2c6b","stim/feuf_f.wav","feel_eng","french",1.377142857,"y","fricative"
"47","5898b6e256357700011c2c6b","stim/fof_f.wav","feel_eng","french",1.380952381,"o","fricative"
"48","5898b6e256357700011c2c6b","stim/peuf_f.wav","fool_eng","french",1.384761905,"y","bilabial"
"49","5898b6e256357700011c2c6b","stim/pof_f.wav","feel_eng","french",1.384761905,"o","bilabial"
"50","5898b6e256357700011c2c6b","stim/fif_f.wav","fool_eng","french",1.392380952,"i","fricative"
"51","5898b6e256357700011c2c6b","stim/p_schwa_f.wav","fought_eng","french",1.392380952,"schwa","bilabial"
"52","5898b6e256357700011c2c6b","stim/fof_f.wav","feel_eng","french",1.392380952,"o","fricative"
"53","5898b6e256357700011c2c6b","stim/pif_f.wav","feel_eng","french",1.392380952,"i","bilabial"
"54","5898b6e256357700011c2c6b","stim/feuf_f.wav","feel_eng","french",1.392380952,"y","fricative"
"55","5898b6e256357700011c2c6b","stim/f_schwa_f.wav","fool_eng","french",1.392380952,"schwa","fricative"
"56","5898b6e256357700011c2c6b","stim/peuf_f.wav","fought_eng","french",1.392380952,"y","bilabial"
"57","5898b6e256357700011c2c6b","stim/p_schwa_f.wav","feel_eng","french",1.392380952,"schwa","bilabial"
"58","5898b6e256357700011c2c6b","stim/pof_f.wav","fought_eng","french",1.392380952,"o","bilabial"
"59","5898b6e256357700011c2c6b","stim/pif_f.wav","fool_eng","french",1.392380952,"i","bilabial"
"60","5898b6e256357700011c2c6b","stim/fif_f.wav","fool_eng","french",1.392380952,"i","fricative"
"61","5898b6e256357700011c2c6b","stim/f_schwa_f.wav","fought_eng","french",1.392380952,"schwa","fricative"
"62","5898b6e256357700011c2c6b","stim/peuf_f.wav","feel_eng","french",1.392380952,"y","bilabial"
"63","5898b6e256357700011c2c6b","stim/fof_f.wav","fool_eng","french",1.392380952,"o","fricative"
"64","5898b6e256357700011c2c6b","stim/feuf_f.wav","feel_eng","french",1.392380952,"y","fricative"
"65","5898b6e256357700011c2c6b","stim/fif_f.wav","feel_eng","french",1.392380952,"i","fricative"
"66","5898b6e256357700011c2c6b","stim/feuf_f.wav","feel_eng","french",1.396190476,"y","fricative"
"67","5898b6e256357700011c2c6b","stim/fof_f.wav","fool_eng","french",1.396190476,"o","fricative"
"68","5898b6e256357700011c2c6b","stim/peuf_f.wav","feel_eng","french",1.396190476,"y","bilabial"
"69","5898b6e256357700011c2c6b","stim/f_schwa_f.wav","fun_eng","french",1.396190476,"schwa","fricative"
"70","5898b6e256357700011c2c6b","stim/pif_f.wav","feel_eng","french",1.396190476,"i","bilabial"
"71","5898b6e256357700011c2c6b","stim/p_schwa_f.wav","fought_eng","french",1.396190476,"schwa","bilabial"
"72","5898b6e256357700011c2c6b","stim/pof_f.wav","fought_eng","french",1.396190476,"o","bilabial"
"73","5898b6e256357700011c2c6b","stim/pof_f.wav","fought_eng","french",1.396190476,"o","bilabial"
